Exposure,Mean Color Hex,Resolution,Filename
correct exposure,#6d6f6b,4284x5712,correct_1.JPG
overexposed,#9b8f81,4284x5712,correct_2.JPG
correct exposure,#877d72,4284x5712,correct_3.JPG
correct exposure,#989996,4284x5712,overexposed_1.JPG
overexposed,#b2aeaa,4284x5712,overexposed_2.JPG
overexposed,#a6a49f,4284x5712,overexposed_3.JPG
underexposed,#3f403e,4284x5712,underexposed_1.JPG
underexposed,#332f29,4284x5712,underexposed_2.JPG
underexposed,#45423b,3024x4032,underexposed_3.JPG
underexposed,#596a80,4284x5712,winter_1.JPG
overexposed,#8896ac,4284x5712,winter_2.JPG
overexposed,#7c90b3,4284x5712,winter_3.JPG
